,query,relevant_doc,relevant_score,set_name
0,ample food,[EM]hot dog[EM]hamburger[EM]taco[EM]smiling face with smiling eyes[EM],0.99771648645401,baseline
1,ample food,[EM]family man man girl girl[EM]family woman woman girl girl[EM]family man woman girl girl[EM]fork and knife with plate[EM]hundred points[EM],0.9955894351005554,baseline
2,ample food,[EM]cooked rice[EM]rice ball[EM]rice cracker[EM]steaming bowl[EM],0.997952938079834,baseline
3,ample food,[EM]pancakes[EM]baguette bread[EM]canned food[EM]curry rice[EM]pot of food[EM],0.998077392578125,baseline
4,ample food,[EM]fork and knife with plate[EM]OK hand light skin tone[EM]red apple[EM],0.9968177676200867,baseline
5,ample food,[EM]red apple[EM]green apple[EM]pear[EM]tangerine[EM]potato[EM]roasted sweet potato[EM]croissant[EM]bagel[EM]bread[EM]flatbread[EM]peach[EM]coconut[EM]kiwi fruit[EM],0.9967036843299866,baseline
6,ample food,[EM]hot dog[EM]hamburger[EM]taco[EM]burrito[EM]sandwich[EM]pizza[EM],0.9891509413719177,baseline
7,ample food,[EM]face savoring food[EM]open hands[EM],0.4938869774341583,baseline
8,ample food,[EM]pot of food[EM]test tube[EM],0.35032063722610474,baseline
9,ample supply,[EM]chart increasing[EM]smiling face with smiling eyes[EM],0.8399817943572998,baseline
10,ample supply,[EM]family man man girl girl[EM]family woman woman girl girl[EM]family man woman girl girl[EM]chart increasing[EM],0.9965569376945496,baseline
11,ample supply,[EM]clipboard[EM]chart decreasing[EM]check mark button[EM],0.42355993390083313,baseline
12,ample supply,[EM]check mark button[EM]fork and knife with plate[EM],0.9186115264892578,baseline
13,ample supply,[EM]locked[EM]OK hand light skin tone[EM],0.9814026355743408,baseline
14,ample supply,[EM]banana[EM]green apple[EM]croissant[EM]taco[EM]sandwich[EM]pretzel[EM]cheese wedge[EM]egg[EM]pancakes[EM]leafy green[EM]hot pepper[EM]oden[EM]bubble tea[EM]chestnut[EM]cookie[EM]birthday cake[EM]clinking glasses[EM]ice cream[EM],0.9839947819709778,baseline
15,ample supply,[EM]package[EM]woman gesturing OK light skin tone[EM],0.9945423007011414,baseline
16,ample supply,[EM]chart increasing[EM]open hands[EM],0.7146477699279785,baseline
17,ample waistline,[EM]chart increasing[EM]pregnant woman[EM],0.9661059379577637,baseline
18,ample waistline,[EM]jeans[EM]straight ruler[EM],0.7759267091751099,baseline
19,ample waistline,[EM]fork and knife[EM]fork and knife[EM]spaghetti[EM]Santa Claus[EM],0.9915504455566406,train
