,query,top_hits_corpus,top_hits_score,top_hits_status
0,ample food,[EM]pancakes[EM]baguette bread[EM]canned food[EM]curry rice[EM]pot of food[EM],0.9980459213256836,True
1,ample food,[EM]cooked rice[EM]rice ball[EM]rice cracker[EM]steaming bowl[EM],0.9979307055473328,True
2,ample food,[EM]hot dog[EM]hamburger[EM]taco[EM]smiling face with smiling eyes[EM],0.9977253675460815,True
3,ample food,[EM]fork and knife with plate[EM]OK hand light skin tone[EM]red apple[EM],0.9968360066413879,True
4,ample food,[EM]red apple[EM]green apple[EM]pear[EM]tangerine[EM]potato[EM]roasted sweet potato[EM]croissant[EM]bagel[EM]bread[EM]flatbread[EM]peach[EM]coconut[EM]kiwi fruit[EM],0.9966921806335449,True
5,ample supply,[EM]family man man girl girl[EM]family woman woman girl girl[EM]family man woman girl girl[EM]chart increasing[EM],0.9965609908103943,True
6,ample supply,[EM]package[EM]woman gesturing OK light skin tone[EM],0.994522213935852,True
7,ample supply,[EM]banana[EM]green apple[EM]croissant[EM]taco[EM]sandwich[EM]pretzel[EM]cheese wedge[EM]egg[EM]pancakes[EM]leafy green[EM]hot pepper[EM]oden[EM]bubble tea[EM]chestnut[EM]cookie[EM]birthday cake[EM]clinking glasses[EM]ice cream[EM],0.9840071201324463,True
8,ample supply,[EM]locked[EM]OK hand light skin tone[EM],0.9813932776451111,True
9,ample supply,[EM]check mark button[EM]fork and knife with plate[EM],0.918770968914032,True
10,ample waistline,[EM]fork and knife[EM]fork and knife[EM]spaghetti[EM]Santa Claus[EM],0.9915329813957214,True
11,ample waistline,[EM]bank[EM]money with wings[EM]dollar banknote[EM]coin[EM]money bag[EM]chart increasing with yen[EM]ATM sign[EM]heavy dollar sign[EM]credit card[EM]money-mouth face[EM],0.9825893044471741,True
12,ample waistline,[EM]chart increasing[EM]pregnant woman[EM],0.9661214351654053,True
13,ample waistline,[EM]dress[EM]pinched fingers light skin tone[EM],0.8604810237884521,True
14,ample waistline,[EM]jeans[EM]straight ruler[EM],0.775983452796936,True
15,average merit,[EM]trophy[EM]trophy[EM]woman gesturing OK[EM],0.9969403743743896,True
16,average merit,[EM]briefcase[EM]neutral face[EM]3rd place medal[EM],0.996591329574585,True
17,average merit,[EM]person shrugging[EM]sports medal[EM],0.8442040681838989,True
18,average merit,[EM]person gesturing OK[EM]man gesturing OK[EM],0.8198236227035522,True
19,average merit,[EM]sun[EM]1st place medal[EM],0.8082259893417358,False
20,average people,[EM]person[EM]man[EM]woman[EM]girl[EM],0.9973247051239014,True
21,average people,[EM]child[EM]girl[EM]boy[EM],0.9971592426300049,True
22,average people,[EM]women holding hands[EM]people holding hands[EM]men holding hands[EM]woman gesturing OK[EM],0.9963057637214661,True
23,average people,[EM]person gesturing OK[EM]man gesturing OK[EM],0.963630735874176,False
24,average people,[EM]man standing[EM]pinching hand[EM],0.852249264717102,False
25,average size,[EM]balance scale[EM]wavy dash[EM],0.9586320519447327,True
26,average size,[EM]man standing[EM]pinching hand[EM],0.9558887481689453,False
27,average size,[EM]person[EM]man[EM]woman[EM]girl[EM],0.8273643255233765,False
28,average size,[EM]child[EM]girl[EM]boy[EM],0.8270200490951538,False
29,average size,[EM]women holding hands[EM]people holding hands[EM]men holding hands[EM]woman gesturing OK[EM],0.8192088603973389,False
30,big business,[EM]office building[EM]office building[EM]office building[EM]bar chart[EM]globe showing Europe-Africa[EM],0.9968091249465942,True
31,big business,[EM]tear-off calendar[EM]handshake[EM],0.9949080348014832,True
32,big business,[EM]handshake[EM]man technologist[EM],0.9917950630187988,True
33,big business,[EM]people holding hands[EM]office building[EM]people holding hands[EM]people holding hands[EM],0.9878979325294495,True
34,big business,[EM]money-mouth face[EM]office building[EM]money-mouth face[EM],0.9812053442001343,True
35,big city,[EM]foggy[EM]sunset[EM]cityscape at dusk[EM]cityscape[EM]night with stars[EM]Statue of Liberty[EM],0.9975596070289612,True
36,big city,[EM]cityscape[EM]sunset[EM],0.9974898099899292,True
37,big city,[EM]up-down arrow[EM]cityscape[EM]left-right arrow[EM],0.9658578038215637,True
38,big city,[EM]exploding head[EM]cityscape at dusk[EM],0.9366112947463989,True
39,big city,[EM]cityscape[EM]up arrow[EM],0.9243308305740356,False
40,big day,[EM]woman with veil[EM]man with veil[EM]man in tuxedo[EM]woman in tuxedo[EM],0.9941359758377075,True
41,big day,[EM]man with veil[EM]ring[EM]woman with veil[EM]man in tuxedo[EM]couple with heart[EM],0.9918266534805298,False
42,big day,[EM]person with veil[EM]couple with heart woman man[EM],0.9888771176338196,True
43,big day,[EM]tear-off calendar[EM]red exclamation mark[EM],0.9855912923812866,True
44,big day,[EM]wedding[EM]person with veil[EM]man in tuxedo[EM],0.934295654296875,True
45,big expenditure,[EM]money with wings[EM]man technologist[EM],0.9942080974578857,True
46,big expenditure,[EM]money with wings[EM]money-mouth face[EM],0.9696682691574097,True
47,big expenditure,[EM]money-mouth face[EM]woman technologist[EM],0.9672040939331055,False
48,big expenditure,[EM]money with wings[EM]chart increasing[EM],0.9315349459648132,True
49,big expenditure,[EM]BACK arrow[EM]disappointed face[EM],0.8999537229537964,False
50,big group,[EM]woman and man holding hands[EM]people holding hands[EM]women holding hands[EM]men holding hands[EM],0.9938139915466309,True
