,sentence1,sentence2,score,label,label_name,emoji_list,shuffled_sentence2,shuffled_emoji_list,num_emojis,is_repeating_emojis
486,right hand,[EM]palms up together[EM]raised back of hand[EM],1.0,0,emoji_annotations_text,"[':palms_up_together:', ':raised_back_of_hand:']",[EM]raised back of hand[EM]palms up together[EM],"[':raised_back_of_hand:', ':palms_up_together:']",2,False
311,bright dress,[EM]bright button[EM]dress[EM],1.0,0,emoji_annotations_text,"[':bright_button:', ':dress:']",[EM]dress[EM]bright button[EM],"[':dress:', ':bright_button:']",2,False
3418,foreign city,[EM]globe showing Asia-Australia[EM]cityscape[EM],1.0,0,emoji_annotations_text,"[':globe_showing_Asia-Australia:', ':cityscape:']",[EM]cityscape[EM]globe showing Asia-Australia[EM],"[':cityscape:', ':globe_showing_Asia-Australia:']",2,False
833,far country,[EM]globe showing Americas[EM]left-right arrow[EM]globe showing Asia-Australia[EM],1.0,0,emoji_annotations_text,"[':globe_showing_Americas:', ':left-right_arrow:', ':globe_showing_Asia-Australia:']",[EM]left-right arrow[EM]globe showing Americas[EM]globe showing Asia-Australia[EM],"[':left-right_arrow:', ':globe_showing_Americas:', ':globe_showing_Asia-Australia:']",3,False
3008,domestic worry,[EM]girl[EM]worried face[EM]anxious face with sweat[EM],1.0,0,emoji_annotations_text,"[':girl:', ':worried_face:', ':anxious_face_with_sweat:']",[EM]worried face[EM]girl[EM]anxious face with sweat[EM],"[':worried_face:', ':girl:', ':anxious_face_with_sweat:']",3,False
244,hot argument,[EM]anger symbol[EM]speaking head[EM],1.0,0,emoji_annotations_text,"[':anger_symbol:', ':speaking_head:']",[EM]speaking head[EM]anger symbol[EM],"[':speaking_head:', ':anger_symbol:']",2,False
2758,high risk,[EM]skull[EM]red exclamation mark[EM],1.0,0,emoji_annotations_text,"[':skull:', ':red_exclamation_mark:']",[EM]red exclamation mark[EM]skull[EM],"[':red_exclamation_mark:', ':skull:']",2,False
2754,high risk,[EM]TOP arrow[EM]skull and crossbones[EM],1.0,0,emoji_annotations_text,"[':TOP_arrow:', ':skull_and_crossbones:']",[EM]skull and crossbones[EM]TOP arrow[EM],"[':skull_and_crossbones:', ':TOP_arrow:']",2,False
549,right man,[EM]right arrow[EM]man[EM]OK hand[EM],1.0,0,emoji_annotations_text,"[':right_arrow:', ':man:', ':OK_hand:']",[EM]man[EM]right arrow[EM]OK hand[EM],"[':man:', ':right_arrow:', ':OK_hand:']",3,False
3531,fresh scent,[EM]wind face[EM]nose[EM]OK hand[EM]relieved face[EM],1.0,0,emoji_annotations_text,"[':wind_face:', ':nose:', ':OK_hand:', ':relieved_face:']",[EM]nose[EM]wind face[EM]OK hand[EM]relieved face[EM],"[':nose:', ':wind_face:', ':OK_hand:', ':relieved_face:']",4,False
2958,inadequate staff,[EM]pinching hand[EM]men holding hands[EM]people holding hands[EM],1.0,0,emoji_annotations_text,"[':pinching_hand:', ':men_holding_hands:', ':people_holding_hands:']",[EM]men holding hands[EM]pinching hand[EM]people holding hands[EM],"[':men_holding_hands:', ':pinching_hand:', ':people_holding_hands:']",3,False
3207,internal sense,[EM]thought balloon[EM]thought balloon[EM],1.0,0,emoji_annotations_text,"[':thought_balloon:', ':thought_balloon:']",[EM]thought balloon[EM]thought balloon[EM],"[':thought_balloon:', ':thought_balloon:']",2,True
18,big expenditure,[EM]shallow pan of food[EM]burrito[EM]burrito[EM]money-mouth face[EM]money-mouth face[EM]money with wings[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':shallow_pan_of_food:', ':burrito:', ':burrito:', ':money-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':money_with_wings:']",[EM]burrito[EM]shallow pan of food[EM]burrito[EM]money-mouth face[EM]money-mouth face[EM]money with wings[EM]money with wings[EM],"[':burrito:', ':shallow_pan_of_food:', ':burrito:', ':money-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':money_with_wings:']",7,False
995,dirty overall,[EM]thumbs down[EM]coat[EM],1.0,0,emoji_annotations_text,"[':thumbs_down:', ':coat:']",[EM]coat[EM]thumbs down[EM],"[':coat:', ':thumbs_down:']",2,False
2852,cool relation,[EM]smiling face with sunglasses[EM]men holding hands[EM],1.0,0,emoji_annotations_text,"[':smiling_face_with_sunglasses:', ':men_holding_hands:']",[EM]men holding hands[EM]smiling face with sunglasses[EM],"[':men_holding_hands:', ':smiling_face_with_sunglasses:']",2,False
2302,clear complexion,[EM]man[EM]potable water[EM]green salad[EM]mirror[EM]sparkles[EM],1.0,0,emoji_annotations_text,"[':man:', ':potable_water:', ':green_salad:', ':mirror:', ':sparkles:']",[EM]potable water[EM]man[EM]green salad[EM]mirror[EM]sparkles[EM],"[':potable_water:', ':man:', ':green_salad:', ':mirror:', ':sparkles:']",5,False
1560,cozy nook,[EM]smiling face with hearts[EM]couch and lamp[EM],1.0,0,emoji_annotations_text,"[':smiling_face_with_hearts:', ':couch_and_lamp:']",[EM]couch and lamp[EM]smiling face with hearts[EM],"[':couch_and_lamp:', ':smiling_face_with_hearts:']",2,False
554,right man,[EM]kiss woman man[EM]family man woman boy boy[EM],1.0,0,emoji_annotations_text,"[':kiss_woman_man:', ':family_man_woman_boy_boy:']",[EM]family man woman boy boy[EM]kiss woman man[EM],"[':family_man_woman_boy_boy:', ':kiss_woman_man:']",2,False
