,sentence1,sentence2,score,label,label_name,emoji_list
1470,low supply,[EM]down arrow[EM]chart decreasing[EM],1.0,0,emoji_annotations_text,"[':down_arrow:', ':chart_decreasing:']"
1136,full auditorium,[EM]hundred points[EM]studio microphone[EM],1.0,0,emoji_annotations_text,"[':hundred_points:', ':studio_microphone:']"
376,dark shadow,[EM]black circle[EM]ninja[EM],1.0,0,emoji_annotations_text,"[':black_circle:', ':ninja:']"
597,short holiday,[EM]woman getting haircut[EM]automobile[EM],1.0,0,emoji_annotations_text,"[':woman_getting_haircut:', ':automobile:']"
499,right hand,[EM]check mark button[EM]raised back of hand[EM],1.0,0,emoji_annotations_text,"[':check_mark_button:', ':raised_back_of_hand:']"
1231,little house,[EM]houses[EM],1.0,0,emoji_annotations_text,[':houses:']
3017,delicate negotiation,[EM]bookmark tabs[EM]memo[EM],1.0,0,emoji_annotations_text,"[':bookmark_tabs:', ':memo:']"
1411,cozy nook,[EM]brown heart[EM]raccoon[EM],1.0,0,emoji_annotations_text,"[':brown_heart:', ':raccoon:']"
225,hot merchandise,[EM]fire[EM]shopping bags[EM],1.0,0,emoji_annotations_text,"[':fire:', ':shopping_bags:']"
2533,cool reception,[EM]COOL button[EM]mobile phone with arrow[EM],1.0,0,emoji_annotations_text,"[':COOL_button:', ':mobile_phone_with_arrow:']"
2776,constant pain,[EM]nauseated face[EM]broken heart[EM],1.0,0,emoji_annotations_text,"[':nauseated_face:', ':broken_heart:']"
1283,ample waistline,[EM]shorts[EM],1.0,0,emoji_annotations_text,[':shorts:']
1638,critical element,[EM]police car light[EM]flashlight[EM],1.0,0,emoji_annotations_text,"[':police_car_light:', ':flashlight:']"
1860,wrong information,[EM]pensive face[EM],1.0,0,emoji_annotations_text,[':pensive_face:']
2394,high temperature,[EM]thermometer[EM]fire[EM]hot face[EM],1.0,0,emoji_annotations_text,"[':thermometer:', ':fire:', ':hot_face:']"
3098,sound explanation,[EM]musical note[EM],1.0,0,emoji_annotations_text,[':musical_note:']
243,hot temper,[EM]thermometer[EM]pouting face[EM],1.0,0,emoji_annotations_text,"[':thermometer:', ':pouting_face:']"
224,hot merchandise,[EM]chart increasing with yen[EM]dollar banknote[EM]shopping cart[EM],1.0,0,emoji_annotations_text,"[':chart_increasing_with_yen:', ':dollar_banknote:', ':shopping_cart:']"
1199,little boy,[EM]baby[EM]boy[EM],1.0,0,emoji_annotations_text,"[':baby:', ':boy:']"
2360,high building,[EM]office building[EM],1.0,0,emoji_annotations_text,[':office_building:']
111,big tipper,[EM]money with wings[EM]receipt[EM]heart suit[EM],1.0,0,emoji_annotations_text,"[':money_with_wings:', ':receipt:', ':heart_suit:']"
1543,low price,[EM]dollar banknote[EM]chart decreasing[EM],1.0,0,emoji_annotations_text,"[':dollar_banknote:', ':chart_decreasing:']"
2303,high price,[EM]money with wings[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':money_with_wings:', ':money_with_wings:']"
1706,thin air,[EM]pinching hand[EM]wind face[EM],1.0,0,emoji_annotations_text,"[':pinching_hand:', ':wind_face:']"
2141,clear water,[EM]magnifying glass tilted right[EM]droplet[EM],1.0,0,emoji_annotations_text,"[':magnifying_glass_tilted_right:', ':droplet:']"
2179,unclear action,[EM]cross mark[EM],1.0,0,emoji_annotations_text,[':cross_mark:']
204,hot topic,[EM]woman and man holding hands[EM]woman and man holding hands[EM]hot springs[EM]speech balloon[EM]speech balloon[EM],1.0,0,emoji_annotations_text,"[':woman_and_man_holding_hands:', ':woman_and_man_holding_hands:', ':hot_springs:', ':speech_balloon:', ':speech_balloon:']"
