,sentence1,sentence2,score,label,label_name,emoji_list,shuffled_sentence2,shuffled_emoji_list,num_emojis,is_repeating_emojis
0,big business,[EM]necktie[EM]chart increasing[EM],1.0,0,emoji_annotations_text,"[':necktie:', ':chart_increasing:']",[EM]chart increasing[EM]necktie[EM],"[':chart_increasing:', ':necktie:']",2,False
1,big business,[EM]office building[EM]money-mouth face[EM]money-mouth face[EM],1.0,0,emoji_annotations_text,"[':office_building:', ':money-mouth_face:', ':money-mouth_face:']",[EM]money-mouth face[EM]office building[EM]money-mouth face[EM],"[':money-mouth_face:', ':office_building:', ':money-mouth_face:']",3,False
2,big business,[EM]man technologist[EM]handshake[EM],1.0,0,emoji_annotations_text,"[':man_technologist:', ':handshake:']",[EM]handshake[EM]man technologist[EM],"[':handshake:', ':man_technologist:']",2,False
3,big business,[EM]office building[EM]people holding hands[EM]people holding hands[EM]people holding hands[EM],1.0,0,emoji_annotations_text,"[':office_building:', ':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",[EM]people holding hands[EM]office building[EM]people holding hands[EM]people holding hands[EM],"[':people_holding_hands:', ':office_building:', ':people_holding_hands:', ':people_holding_hands:']",4,False
4,big business,[EM]woman technologist[EM]money-mouth face[EM],1.0,0,emoji_annotations_text,"[':woman_technologist:', ':money-mouth_face:']",[EM]money-mouth face[EM]woman technologist[EM],"[':money-mouth_face:', ':woman_technologist:']",2,False
5,big business,[EM]money bag[EM]chart increasing[EM],1.0,0,emoji_annotations_text,"[':money_bag:', ':chart_increasing:']",[EM]chart increasing[EM]money bag[EM],"[':chart_increasing:', ':money_bag:']",2,False
6,big business,[EM]office building[EM]office building[EM]office building[EM]bar chart[EM]globe showing Europe-Africa[EM],1.0,0,emoji_annotations_text,"[':office_building:', ':office_building:', ':office_building:', ':bar_chart:', ':globe_showing_Europe-Africa:']",[EM]office building[EM]office building[EM]office building[EM]bar chart[EM]globe showing Europe-Africa[EM],"[':office_building:', ':office_building:', ':office_building:', ':bar_chart:', ':globe_showing_Europe-Africa:']",5,False
7,big business,[EM]handshake[EM]tear-off calendar[EM],1.0,0,emoji_annotations_text,"[':handshake:', ':tear-off_calendar:']",[EM]tear-off calendar[EM]handshake[EM],"[':tear-off_calendar:', ':handshake:']",2,False
8,big business,[EM]grinning face[EM]person in suit levitating[EM],0.5,1,baseline_text,"[':grinning_face:', ':person_in_suit_levitating:']",[EM]person in suit levitating[EM]grinning face[EM],"[':person_in_suit_levitating:', ':grinning_face:']",2,False
9,big business,[EM]grinning face[EM]sad but relieved face[EM],0.1,2,semineg_text,"[':grinning_face:', ':sad_but_relieved_face:']",[EM]sad but relieved face[EM]grinning face[EM],"[':sad_but_relieved_face:', ':grinning_face:']",2,False
10,big business,[EM]grinning face[EM]microphone[EM],0.1,2,semineg_text,"[':grinning_face:', ':microphone:']",[EM]microphone[EM]grinning face[EM],"[':microphone:', ':grinning_face:']",2,False
11,big business,[EM]grinning face[EM]reminder ribbon[EM],0.1,2,semineg_text,"[':grinning_face:', ':reminder_ribbon:']",[EM]reminder ribbon[EM]grinning face[EM],"[':reminder_ribbon:', ':grinning_face:']",2,False
