,sentence1,sentence2,score,label,label_name,emoji_list,shuffled_sentence2,shuffled_emoji_list,num_emojis,is_repeating_emojis
3208,internal sense,[EM]dna[EM]peace symbol[EM],1.0,0,emoji_annotations_text,"[':dna:', ':peace_symbol:']",[EM]peace symbol[EM]dna[EM],"[':peace_symbol:', ':dna:']",2,False
367,dark day,[EM]sunglasses[EM]sunrise[EM],1.0,0,emoji_annotations_text,"[':sunglasses:', ':sunrise:']",[EM]sunrise[EM]sunglasses[EM],"[':sunrise:', ':sunglasses:']",2,False
483,right hand,[EM]backhand index pointing right[EM]raised back of hand[EM],1.0,0,emoji_annotations_text,"[':backhand_index_pointing_right:', ':raised_back_of_hand:']",[EM]raised back of hand[EM]backhand index pointing right[EM],"[':raised_back_of_hand:', ':backhand_index_pointing_right:']",2,False
3610,sound approach,[EM]thumbs up[EM]writing hand[EM]bookmark tabs[EM],1.0,0,emoji_annotations_text,"[':thumbs_up:', ':writing_hand:', ':bookmark_tabs:']",[EM]writing hand[EM]thumbs up[EM]bookmark tabs[EM],"[':writing_hand:', ':thumbs_up:', ':bookmark_tabs:']",3,False
769,short life,[EM]shorts[EM]alien[EM],1.0,0,emoji_annotations_text,"[':shorts:', ':alien:']",[EM]alien[EM]shorts[EM],"[':alien:', ':shorts:']",2,False
588,right thing,[EM]grinning face[EM]thumbs up[EM],1.0,0,emoji_annotations_text,"[':grinning_face:', ':thumbs_up:']",[EM]thumbs up[EM]grinning face[EM],"[':thumbs_up:', ':grinning_face:']",2,False
3518,fresh bread,[EM]soap[EM]bread[EM],1.0,0,emoji_annotations_text,"[':soap:', ':bread:']",[EM]bread[EM]soap[EM],"[':bread:', ':soap:']",2,False
2778,high opinion,[EM]up arrow[EM]speaking head[EM],1.0,0,emoji_annotations_text,"[':up_arrow:', ':speaking_head:']",[EM]speaking head[EM]up arrow[EM],"[':speaking_head:', ':up_arrow:']",2,False
3539,fresh scent,[EM]face savoring food[EM]nose[EM],1.0,0,emoji_annotations_text,"[':face_savoring_food:', ':nose:']",[EM]nose[EM]face savoring food[EM],"[':nose:', ':face_savoring_food:']",2,False
1176,common brand,[EM]play button[EM]shopping cart[EM]purse[EM],1.0,0,emoji_annotations_text,"[':play_button:', ':shopping_cart:', ':purse:']",[EM]shopping cart[EM]play button[EM]purse[EM],"[':shopping_cart:', ':play_button:', ':purse:']",3,False
3105,intelligent question,[EM]brain[EM]thinking face[EM],1.0,0,emoji_annotations_text,"[':brain:', ':thinking_face:']",[EM]thinking face[EM]brain[EM],"[':thinking_face:', ':brain:']",2,False
