,sentence1,sentence2,score,label,label_name,emoji_list
2015,clear complexion,[EM]magnifying glass tilted right[EM]smiling face[EM],1.0,0,emoji_annotations_text,"[':magnifying_glass_tilted_right:', ':smiling_face:']"
1178,full life,[EM]smiling face with hearts[EM]smiling face with hearts[EM],1.0,0,emoji_annotations_text,"[':smiling_face_with_hearts:', ':smiling_face_with_hearts:']"
2068,clear case,[EM]balance scale[EM]sparkles[EM],1.0,0,emoji_annotations_text,"[':balance_scale:', ':sparkles:']"
1513,low bow,[EM]down-right arrow[EM]man bowing[EM],1.0,0,emoji_annotations_text,"[':down-right_arrow:', ':man_bowing:']"
962,common knowledge,[EM]smiling face with sunglasses[EM],1.0,0,emoji_annotations_text,[':smiling_face_with_sunglasses:']
2763,constant lover,[EM]couple with heart[EM]woman and man holding hands[EM],1.0,0,emoji_annotations_text,"[':couple_with_heart:', ':woman_and_man_holding_hands:']"
398,dark day,[EM]fog[EM],1.0,0,emoji_annotations_text,[':fog:']
2127,clear glass,[EM]tumbler glass[EM],1.0,0,emoji_annotations_text,[':tumbler_glass:']
722,short story,[EM]pinching hand[EM]open book[EM],1.0,0,emoji_annotations_text,"[':pinching_hand:', ':open_book:']"
1120,full game,[EM]hollow red circle[EM][EM]video game[EM],1.0,0,emoji_annotations_text,"[':hollow_red_circle:', '', ':video_game:']"
2633,idyllic spot,[EM]beaming face with smiling eyes[EM]national park[EM],1.0,0,emoji_annotations_text,"[':beaming_face_with_smiling_eyes:', ':national_park:']"
3002,delicate wing,[EM]face with head-bandage[EM]eagle[EM],1.0,0,emoji_annotations_text,"[':face_with_head-bandage:', ':eagle:']"
2764,constant lover,[EM]red heart[EM]couple with heart[EM],1.0,0,emoji_annotations_text,"[':red_heart:', ':couple_with_heart:']"
2485,high point,[EM]man climbing[EM],1.0,0,emoji_annotations_text,[':man_climbing:']
2622,idyllic life,[EM]seedling[EM]tanabata tree[EM]sheaf of rice[EM]butterfly[EM]duck[EM]front-facing baby chick[EM]dog face[EM]hamster[EM],1.0,0,emoji_annotations_text,"[':seedling:', ':tanabata_tree:', ':sheaf_of_rice:', ':butterfly:', ':duck:', ':front-facing_baby_chick:', ':dog_face:', ':hamster:']"
2343,high hope,[EM]up arrow[EM]folded hands[EM],1.0,0,emoji_annotations_text,"[':up_arrow:', ':folded_hands:']"
828,average size,[EM]neutral face[EM]straight ruler[EM],1.0,0,emoji_annotations_text,"[':neutral_face:', ':straight_ruler:']"
660,short supply,[EM]shaved ice[EM]clinking beer mugs[EM]teacup without handle[EM]sushi[EM]rice ball[EM]cross mark[EM],1.0,0,emoji_annotations_text,"[':shaved_ice:', ':clinking_beer_mugs:', ':teacup_without_handle:', ':sushi:', ':rice_ball:', ':cross_mark:']"
1666,immediate influence,[EM]ninja medium-dark skin tone[EM],1.0,0,emoji_annotations_text,[':ninja_medium-dark_skin_tone:']
659,short supply,[EM]cross mark[EM]package[EM],1.0,0,emoji_annotations_text,"[':cross_mark:', ':package:']"
2506,cool drink,[EM]snowflake[EM]cup with straw[EM],1.0,0,emoji_annotations_text,"[':snowflake:', ':cup_with_straw:']"
1587,critical mass,[EM]OK button[EM]rock[EM],1.0,0,emoji_annotations_text,"[':OK_button:', ':rock:']"
661,short supply,[EM]cross mark[EM]bowl with spoon[EM],1.0,0,emoji_annotations_text,"[':cross_mark:', ':bowl_with_spoon:']"
191,hot stove,[EM]fire[EM]hot springs[EM],1.0,0,emoji_annotations_text,"[':fire:', ':hot_springs:']"
1284,ample waistline,[EM]white circle[EM][EM]men’s room[EM],1.0,0,emoji_annotations_text,"[':white_circle:', '', ':men’s_room:']"
167,hot water,[EM]hot springs[EM]droplet[EM],1.0,0,emoji_annotations_text,"[':hot_springs:', ':droplet:']"
2607,inadequate staff,[EM]pile of poo[EM]pouting face[EM]woman technologist[EM]man technologist[EM]technologist[EM]technologist[EM]technologist[EM],1.0,0,emoji_annotations_text,"[':pile_of_poo:', ':pouting_face:', ':woman_technologist:', ':man_technologist:', ':technologist:', ':technologist:', ':technologist:']"
882,dirty slum,[EM]nauseated face[EM]downcast face with sweat[EM]cityscape[EM],1.0,0,emoji_annotations_text,"[':nauseated_face:', ':downcast_face_with_sweat:', ':cityscape:']"
206,hot topic,[EM]speaking head[EM]speaking head[EM]speaking head[EM],1.0,0,emoji_annotations_text,"[':speaking_head:', ':speaking_head:', ':speaking_head:']"
1336,dull mood,[EM]worried face[EM],1.0,0,emoji_annotations_text,[':worried_face:']
2634,idyllic spot,[EM]mount fuji[EM]camping[EM],1.0,0,emoji_annotations_text,"[':mount_fuji:', ':camping:']"
94,big city,[EM]cityscape[EM],1.0,0,emoji_annotations_text,[':cityscape:']
935,dirty fighter,[EM]smiling face with horns[EM]people wrestling[EM],1.0,0,emoji_annotations_text,"[':smiling_face_with_horns:', ':people_wrestling:']"
2517,cool relation,[EM]COOL button[EM]kiss[EM],1.0,0,emoji_annotations_text,"[':COOL_button:', ':kiss:']"
2306,high price,[EM]money with wings[EM],1.0,0,emoji_annotations_text,[':money_with_wings:']
340,bright dress,[EM]sparkles[EM]dress[EM],1.0,0,emoji_annotations_text,"[':sparkles:', ':dress:']"
266,hot argument,[EM]people wrestling[EM]anger symbol[EM],1.0,0,emoji_annotations_text,"[':people_wrestling:', ':anger_symbol:']"
2947,foreign nation,[EM]Andorra[EM]United Arab Emirates[EM]Afghanistan[EM]Antigua & Barbuda[EM]Anguilla[EM]Albania[EM]Armenia[EM]Angola[EM]Antarctica[EM]Argentina[EM]American Samoa[EM]Austria[EM]Australia[EM]Aruba[EM],1.0,0,emoji_annotations_text,"[':Andorra:', ':United_Arab_Emirates:', ':Afghanistan:', ':Antigua_&_Barbuda:', ':Anguilla:', ':Albania:', ':Armenia:', ':Angola:', ':Antarctica:', ':Argentina:', ':American_Samoa:', ':Austria:', ':Australia:', ':Aruba:']"
212,hot topic,[EM]speaking head[EM]speaking head[EM],1.0,0,emoji_annotations_text,"[':speaking_head:', ':speaking_head:']"
1191,little boy,[EM]person standing medium-light skin tone[EM],1.0,0,emoji_annotations_text,[':person_standing_medium-light_skin_tone:']
757,far journey,[EM]airplane[EM]airplane[EM]airplane[EM],1.0,0,emoji_annotations_text,"[':airplane:', ':airplane:', ':airplane:']"
1401,dull glow,[EM]waxing crescent moon[EM]glowing star[EM],1.0,0,emoji_annotations_text,"[':waxing_crescent_moon:', ':glowing_star:']"
133,big day,[EM]party popper[EM]confetti ball[EM]spiral calendar[EM]wrapped gift[EM],1.0,0,emoji_annotations_text,"[':party_popper:', ':confetti_ball:', ':spiral_calendar:', ':wrapped_gift:']"
2356,high building,[EM]astonished face[EM]building construction[EM]office building[EM],1.0,0,emoji_annotations_text,"[':astonished_face:', ':building_construction:', ':office_building:']"
2395,high temperature,[EM]UP! button[EM]hot springs[EM],1.0,0,emoji_annotations_text,"[':UP!_button:', ':hot_springs:']"
1904,warm support,[EM]smiling face[EM]smiling face with hearts[EM],1.0,0,emoji_annotations_text,"[':smiling_face:', ':smiling_face_with_hearts:']"
1147,full attention,[EM]ear[EM]eyes[EM],1.0,0,emoji_annotations_text,"[':ear:', ':eyes:']"
2071,clear case,[EM]motorway[EM],1.0,0,emoji_annotations_text,[':motorway:']
