,Unnamed: 0,name,emoji,category,zwj_split_text,baseline_emojis,baseline_emojis_text,baseline_text,conceptnet,randneg_emojis,randneg_text
0,0,:health_worker:,🧑‍⚕️,Role,"[':person:', ':medical_symbol:']","['👩', '⚕️', '👷']","[':woman:', ':medical_symbol:', ':construction_worker:']","[':woman_health_worker:', ':construction_worker:']","['health', 'worker'] -> [':woman_health_worker:', ':construction_worker:']","['👨🏼\u200d\U0001f9b3', '🇱🇺']","[':man_medium-light_skin_tone_white_hair:', ':Luxembourg:']"
1,1,:judge:,🧑‍⚖️,Role,"[':person:', ':balance_scale:']","['🤾', '♀️', '💅']","[':person_playing_handball:', ':female_sign:', ':nail_polish:']","[':woman_playing_handball:', ':nail_polish:']","['pass', 'sentence'] -> [':woman_playing_handball:', ':nail_polish:']","['🏄🏻\u200d♂️', '🇾🇪']","[':man_surfing_light_skin_tone:', ':Yemen:']"
2,2,:pilot:,🧑‍✈️,Role,"[':person:', ':airplane:']","['🚜', '👨', '✈️']","[':tractor:', ':man:', ':airplane:']","[':tractor:', ':man_pilot:']","['land', 'plane'] -> [':tractor:', ':man_pilot:']","['👰🏽\u200d♀️', '🤽\u200d♂️']","[':woman_with_veil_medium_skin_tone:', ':man_playing_water_polo:']"
3,3,:farmer:,🧑‍🌾,Role,"[':person:', ':sheaf_of_rice:']","['🐖', '🚜']","[':pig:', ':tractor:']","[':pig:', ':tractor:']","['farm', 'land'] -> [':pig:', ':tractor:']","['\U0001f9d8🏽\u200d♂️', '⏺']","[':man_in_lotus_position_medium_skin_tone:', ':record_button:']"
4,4,:cook:,🧑‍🍳,Role,"[':person:', ':cooking:']","['🌡', '🥖']","[':thermometer:', ':baguette_bread:']","[':thermometer:', ':baguette_bread:']","['measure', 'flour'] -> [':thermometer:', ':baguette_bread:']","['👸🏾', '🙌🏿']","[':princess_medium-dark_skin_tone:', ':raising_hands_dark_skin_tone:']"
5,5,:person_feeding_baby:,🧑‍🍼,Role,"[':person:', ':baby_bottle:']","['🙎', '🍼']","[':person_pouting:', ':baby_bottle:']","[':person_pouting:', ':baby_bottle:']","['person', 'feeding'] -> [':person_pouting:', ':baby_bottle:']","['🖐🏿', '🔈']","[':hand_with_fingers_splayed_dark_skin_tone:', ':speaker_low_volume:']"
6,6,:student:,🧑‍🎓,Role,"[':person:', ':graduation_cap:']","['❓', '👩', '🏫']","[':red_question_mark:', ':woman:', ':school:']","[':red_question_mark:', ':woman_teacher:']","['question', 'teacher'] -> [':red_question_mark:', ':woman_teacher:']","['🇪🇦', '\U0001f964']","[':Ceuta_&_Melilla:', ':cup_with_straw:']"
7,7,:singer:,🧑‍🎤,Role,"[':person:', ':microphone:']","['🤒', '🤒']","[':face_with_thermometer:', ':face_with_thermometer:']","[':face_with_thermometer:', ':face_with_thermometer:']","['sore', 'throat'] -> [':face_with_thermometer:', ':face_with_thermometer:']","['🔜', '🎻']","[':SOON_arrow:', ':violin:']"
8,8,:artist:,🧑‍🎨,Role,"[':person:', ':artist_palette:']","['🎨', '🤳🏾']","[':artist_palette:', ':selfie_medium-dark_skin_tone:']","[':artist_palette:', ':selfie_medium-dark_skin_tone:']","['paint', 'portrait'] -> [':artist_palette:', ':selfie_medium-dark_skin_tone:']","['💤', '\U0001fac0']","[':zzz:', ':anatomical_heart:']"
9,9,:teacher:,🧑‍🏫,Role,"[':person:', ':school:']","['🏫', '🎓']","[':school:', ':graduation_cap:']","[':school:', ':graduation_cap:']","['school', 'students'] -> [':school:', ':graduation_cap:']","['🥐', '👩🏻\u200d❤️\u200d💋\u200d👩🏽']","[':croissant:', ':kiss_woman_woman_light_skin_tone_medium_skin_tone:']"
10,10,:factory_worker:,🧑‍🏭,Role,"[':person:', ':factory:']","['🏭', '👷']","[':factory:', ':construction_worker:']","[':factory:', ':construction_worker:']","['factory', 'worker'] -> [':factory:', ':construction_worker:']","['👐🏻', '👨🏿\u200d🍼']","[':open_hands_light_skin_tone:', ':man_feeding_baby_dark_skin_tone:']"
11,11,:technologist:,🧑‍💻,Role,"[':person:', ':laptop:']",[],[],,,"['\U0001f9d9🏼\u200d♂️', '🇸🇭']","[':man_mage_medium-light_skin_tone:', ':St._Helena:']"
12,12,:office_worker:,🧑‍💼,Role,"[':person:', ':briefcase:']","['🏢', '👷']","[':office_building:', ':construction_worker:']","[':office_building:', ':construction_worker:']","['office', 'worker'] -> [':office_building:', ':construction_worker:']","['🇬🇫', '🇧🇼']","[':French_Guiana:', ':Botswana:']"
13,13,:mechanic:,🧑‍🔧,Role,"[':person:', ':wrench:']","['🈂', '🏎']","[':Japanese_service_charge_button:', ':racing_car:']","[':Japanese_service_charge_button:', ':racing_car:']","['service', 'car'] -> [':Japanese_service_charge_button:', ':racing_car:']","['🛀🏾', '\U0001f9dc🏻']","[':person_taking_bath_medium-dark_skin_tone:', ':merperson_light_skin_tone:']"
14,14,:scientist:,🧑‍🔬,Role,"[':person:', ':microscope:']","['❓', '👳🏻']","[':red_question_mark:', ':person_wearing_turban_light_skin_tone:']","[':red_question_mark:', ':person_wearing_turban_light_skin_tone:']","['question', 'theories'] -> [':red_question_mark:', ':person_wearing_turban_light_skin_tone:']","['🏃\u200d♂️', '🏋🏿\u200d♀️']","[':man_running:', ':woman_lifting_weights_dark_skin_tone:']"
