,unicode,name,emoji,category,zwj_split_emojis,zwj_split_text,baseline_emojis,baseline_emojis_text,baseline_text,conceptnet,randneg_emojis,randneg_text,sbert_scores,sbert_rank
0,1F9D1 200D 2695 FE0F,:health_worker:,🧑‍⚕️,Role,"['\U0001f9d1', '⚕️']","[':person:', ':medical_symbol:']","['👩', '⚕️', '👷']","[':woman:', ':medical_symbol:', ':construction_worker:']","[':woman_health_worker:', ':construction_worker:']","['health', 'worker'] -> [':woman_health_worker:', ':construction_worker:']","['👨🏼\u200d\U0001f9b3', '🇱🇺']","[':man_medium-light_skin_tone_white_hair:', ':Luxembourg:']","[0.4131, 0.7204, 0.1501]",0
1,1F9D1 200D 2696 FE0F,:judge:,🧑‍⚖️,Role,"['\U0001f9d1', '⚖️']","[':person:', ':balance_scale:']","['🤾', '♀️', '💅']","[':person_playing_handball:', ':female_sign:', ':nail_polish:']","[':woman_playing_handball:', ':nail_polish:']","['pass', 'sentence'] -> [':woman_playing_handball:', ':nail_polish:']","['🏄🏻\u200d♂️', '🇾🇪']","[':man_surfing_light_skin_tone:', ':Yemen:']","[0.1734, 0.0362, 0.1127]",-2
2,1F9D1 200D 2708 FE0F,:pilot:,🧑‍✈️,Role,"['\U0001f9d1', '✈️']","[':person:', ':airplane:']","['🚜', '👨', '✈️']","[':tractor:', ':man:', ':airplane:']","[':tractor:', ':man_pilot:']","['land', 'plane'] -> [':tractor:', ':man_pilot:']","['👰🏽\u200d♀️', '🤽\u200d♂️']","[':woman_with_veil_medium_skin_tone:', ':man_playing_water_polo:']","[0.6363, 0.6437, 0.1443]",0
3,1F9D1 200D 1F33E,:farmer:,🧑‍🌾,Role,"['\U0001f9d1', '🌾']","[':person:', ':sheaf_of_rice:']","['🐖', '🚜']","[':pig:', ':tractor:']","[':pig:', ':tractor:']","['farm', 'land'] -> [':pig:', ':tractor:']","['\U0001f9d8🏽\u200d♂️', '⏺']","[':man_in_lotus_position_medium_skin_tone:', ':record_button:']","[0.3583, 0.6163, -0.0204]",0
4,1F9D1 200D 1F373,:cook:,🧑‍🍳,Role,"['\U0001f9d1', '🍳']","[':person:', ':cooking:']","['🌡', '🥖']","[':thermometer:', ':baguette_bread:']","[':thermometer:', ':baguette_bread:']","['measure', 'flour'] -> [':thermometer:', ':baguette_bread:']","['👸🏾', '🙌🏿']","[':princess_medium-dark_skin_tone:', ':raising_hands_dark_skin_tone:']","[0.7387, 0.1634, 0.0649]",1
5,1F9D1 200D 1F37C,:person_feeding_baby:,🧑‍🍼,Role,"['\U0001f9d1', '🍼']","[':person:', ':baby_bottle:']","['🙎', '🍼']","[':person_pouting:', ':baby_bottle:']","[':person_pouting:', ':baby_bottle:']","['person', 'feeding'] -> [':person_pouting:', ':baby_bottle:']","['🖐🏿', '🔈']","[':hand_with_fingers_splayed_dark_skin_tone:', ':speaker_low_volume:']","[0.5777, 0.5362, 0.0428]",1
6,1F9D1 200D 1F393,:student:,🧑‍🎓,Role,"['\U0001f9d1', '🎓']","[':person:', ':graduation_cap:']","['❓', '👩', '🏫']","[':red_question_mark:', ':woman:', ':school:']","[':red_question_mark:', ':woman_teacher:']","['question', 'teacher'] -> [':red_question_mark:', ':woman_teacher:']","['🇪🇦', '\U0001f964']","[':Ceuta_&_Melilla:', ':cup_with_straw:']","[0.4373, 0.3778, 0.0973]",1
7,1F9D1 200D 1F3A4,:singer:,🧑‍🎤,Role,"['\U0001f9d1', '🎤']","[':person:', ':microphone:']","['🤒', '🤒']","[':face_with_thermometer:', ':face_with_thermometer:']","[':face_with_thermometer:', ':face_with_thermometer:']","['sore', 'throat'] -> [':face_with_thermometer:', ':face_with_thermometer:']","['🔜', '🎻']","[':SOON_arrow:', ':violin:']","[0.4506, 0.1006, 0.2346]",-2
8,1F9D1 200D 1F3A8,:artist:,🧑‍🎨,Role,"['\U0001f9d1', '🎨']","[':person:', ':artist_palette:']","['🎨', '🤳🏾']","[':artist_palette:', ':selfie_medium-dark_skin_tone:']","[':artist_palette:', ':selfie_medium-dark_skin_tone:']","['paint', 'portrait'] -> [':artist_palette:', ':selfie_medium-dark_skin_tone:']","['💤', '\U0001fac0']","[':zzz:', ':anatomical_heart:']","[0.5918, 0.407, 0.1442]",1
9,1F9D1 200D 1F3EB,:teacher:,🧑‍🏫,Role,"['\U0001f9d1', '🏫']","[':person:', ':school:']","['🏫', '🎓']","[':school:', ':graduation_cap:']","[':school:', ':graduation_cap:']","['school', 'students'] -> [':school:', ':graduation_cap:']","['🥐', '👩🏻\u200d❤️\u200d💋\u200d👩🏽']","[':croissant:', ':kiss_woman_woman_light_skin_tone_medium_skin_tone:']","[0.5711, 0.2624, 0.0674]",1
